objectid,isbn
89409,1936920379
9560,1560764023
478,158994030X
823,1589940512
6472,1589941039
20551,4010350604502
6472,1589947207
103343,1589947207
95802,1616610530
228,1887801472
223321,5902560381375
109932,0984816496
94964,1616611138
122877,0984608079
814,1929780028
169044,1616619651
127023,3760146642041
125376,1616614463
766,0911605460
167883,1633440214
167884,1633440222
167885,1633440230
167886,1633440257
167887,1633440265
175212,1633441113
175213,1633441105
177086,1633441962
177087,1633441970
177088,1633441954
182371,163344144X
138161,0992251656
140638,1617682888
150293,147281634X
204,3930635267
242,393979418X
125548,1936920239
21713,2914849540
108415,161661188X
306040,1472842413
186701,0994341245
207898,0999769804
211940,193814614X
204592,3760175513442
55679,0984171304
25794,0786953853
160964,1633440281
160964,1616618078
216070,8054181513134
18333,1929780524
70916,1616613408
69120,1589949773
118063,1616613963
129721,1616613386
8593,1589941268
149915,1616617888
254381,1472830687
121958,1616613378
14996,0975277367
41047,0975277367
1741,1589945018
41064,1589945018
170356,0615987508
39683,1938146034
66510,0976914476
147980,1616617896
1800,1568820577
22398,1588465284
120,1560380330
494,1560765771
1829,0743007646
33451,0976914441
73369,1560765917
99975,2914849850
222853,1589781791
177182,163344127X
147473,1616616520
156189,3558380024798
180585,3558380031031
24742,8495830957
43868,1594721238
87507,1616610395
87507,1589946863
114276,1616619139
114276,1616613629
143760,1616616512
54,1892081318
23686,0978038320
103515,1616611340
1465,0913866687
138788,1938146999
85325,8376293419
197097,1976371457
903,3834630829
128667,8032611691317
169416,1601257457
174078,8436017223217
104733,1589945204
104363,1616611138
104363,1589949722
104363,1589940741
1159,291484980X
107255,291484980X
1143,1589942825
22038,1589942825
125548,1936920131
144553,3770000010060
27848,1589945573
156138,3760175512896
200058,1938146212
140916,1616613874
31722,9081228315
216092,3558380044864
163640,193814676X
124969,0786960434
96713,1616610956
146508,3558380031000
1,1599718758
70512,1938146417
167888,1633440273
149435,161661790X
41460,1589949889
42597,1589946278
5576,1589780183
8207,1589780418
60231,1589947215
65234,1589948610
98590,1616611375
134945,1616616067
91189,3890649823
162351,5060377583037
137909,4005556222612
182094,8032611691102
1472,0963469142
43320,1594721165
213549,039515460X
115288,1617680834
5369,090441745X
176920,1633441369
10659,0982727909
79067,0982727909
209664,0994341261
166202,1938146670
172896,1613171005
1149,1560769335
2063,0880387211
212580,1589934806
22485,0984155813
102889,1616611367
16443,1589780795
19187,1589780809
144728,1617683175
16933,1556347456
22894,1556347456
207010,0986392065
110868,1617681091
169530,1936920492
103670,1616612037
207919,1589781740
7719,158994125X
2211,1556345135
134,1892081253
29456,1933362200
223449,0994718004
46362,0976914492
204470,0999428845
97939,098402560X
24935,8495830817
71676,1936112051
145086,1631270001
2472,1931748020
34139,2914849575
280041,1947941089
164775,0994487606
218028,0986392049
23977,0615462189
204466,0985858052
99770,8865271086
1219,3473670847
1234,1887801006
122240,0984608052
144826,3760175511158
215918,3770002176917
199766,1452151776
15678,9780451204844
15678,0451204840
7967,158994173X
8042,1896776396
68083,0984450904
187515,193814600X
18723,1589944720
2307,1560760869
169470,1938146395
54986,0966347668
202776,1908237511
21276,1589780841
194523,2370990058
133633,0985858036
28720,1988884020
24627,0786941014
32495,1588463494
215154,1938146166
71837,1935693115
72482,0984171320
43231,1934857386
113070,0615641571
139769,1574572156
85394,1616617683
152902,1575619989
28100,0641844999
1962,0962827517
17053,1932812016
38343,158994755X
139037,1601255519
98315,1616611626
155969,1938146786
204814,1938146115
98634,1616611049
104139,1616612185
110193,1616612568
114351,1616612584
129413,161661532X
129480,1616614455
130715,1616617950
130715,1616615400
132020,1616615540
132020,1616615559
133167,1616615567
133167,1616615559
134946,1616615567
134946,1616615575
135064,161661451X
137773,1616615583
137773,1616615575
139413,1616615583
139413,1616615400
140917,1616615591
143025,1616618027
147723,161661885X
153130,1616618574
154423,1616617438
154424,1616617446
154425,1616617454
154493,1616618582
156416,1616618590
158019,1616618612
158019,1616618604
160464,161661708X
160464,1616618620
161217,1616618647
164313,1633440397
164662,1616619430
164665,163344029X
170362,1633440028
177163,1633441377
177590,0990807843
129423,1616614625
63214,1594721289
21882,1589942906
30957,1589944119
47185,1589946685
53953,1594721270
103886,1616613815
162286,0992126800
145325,3558380021032
22823,1589943015
2955,1892081911
3201,1589940326
7717,0786912529
31563,1589946243
162007,0992126827
162007,0992126819
475,0786912073
9674,158994223X
15062,0975277383
15363,1616611634
42776,1616611693
42776,1904854648
144797,1936920204
169255,1633441903
149414,8054181511567
8203,1616611715
92415,3558380020400
18833,1616614803
70323,3760175513145
123123,1936920166
128671,0992251613
198773,8594156310363
216381,0648048306
34861,0641843224
34862,0641843208
34862,0641843216
122571,1450751210
19652,1588461653
137182,161661384X
189686,3558380035954
193527,3558380038795
220836,3558380046424
164664,1616619457
166711,1616619465
