gameid,url,price,currency,enabled,show_from
365717,https://jandjgamingfactory.com/products/clank-catacombs?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.6,USD,1,1
266507,https://jandjgamingfactory.com/products/clank-legacy-acquisitions-inc?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,76,USD,0,1
355433,https://jandjgamingfactory.com/products/boop?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.59,USD,1,1
383579,https://jandjgamingfactory.com/products/boooop?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.59,USD,0,1
237182,https://jandjgamingfactory.com/products/root-base-game?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.6,USD,0,1
201808,https://jandjgamingfactory.com/products/clank?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.6,USD,1,1
389914,https://jandjgamingfactory.com/products/star-wars-shatterpoint-twice-the-pride?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,1,1
389916,https://jandjgamingfactory.com/products/star-wars-shatterpoint-plans-and-preparation?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,1,1
399978,https://jandjgamingfactory.com/products/star-wars-shatterpoint-witches-of-dathomir?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,0,1
399981,https://jandjgamingfactory.com/products/star-wars-shatterpoint-firstful-of-credits?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,1,1
389917,https://jandjgamingfactory.com/products/star-wars-shatterpoint-jedi-hunters?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,1,1
389913,https://jandjgamingfactory.com/products/star-wars-shatterpoint-hello-there?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,1,1
389915,https://jandjgamingfactory.com/products/star-wars-shatterpoint-appetite-for-destruction?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,0,1
400795,https://jandjgamingfactory.com/products/star-wars-legion-logray-wicket?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,22.79,USD,0,1
400794,https://jandjgamingfactory.com/products/star-wars-legion-ewok-warriors?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,0,1
376472,https://jandjgamingfactory.com/products/noobs-in-space?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,11.36,USD,1,1
199792,https://jandjgamingfactory.com/products/everdell?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,58.02,USD,0,1
353905,https://jandjgamingfactory.com/products/bureau-of-investigation?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,34.2,USD,1,1
222145,https://jandjgamingfactory.com/products/lucidity-six-sided-nightmares?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,21.57,USD,1,1
325830,https://jandjgamingfactory.com/products/steven-rhodes-dont-talk-to-strangers?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,0,1
325828,https://jandjgamingfactory.com/products/steven-rhodes-lets-dig-for-treasure?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,14.37,USD,1,1
295947,https://jandjgamingfactory.com/products/cascadia?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,0,1
346965,https://jandjgamingfactory.com/products/azul-queen-s-garden?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,34.19,USD,1,1
230802,https://jandjgamingfactory.com/products/azul?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,0,1
316554,https://jandjgamingfactory.com/products/dune-imperium?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,41.8,USD,0,1
361503,https://jandjgamingfactory.com/products/runescape-kingdoms-shadow-of-elvarg-preorder?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,60.79,USD,0,1
319971,https://jandjgamingfactory.com/products/monster-hunter-world-ancient-forest-core-game?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,91.19,USD,0,1
361195,https://jandjgamingfactory.com/products/monster-hunter-world-wildspire-waste-core-game?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,91.19,USD,0,1
415085,https://jandjgamingfactory.com/products/runescape-kingdoms-king-black-dragon?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.59,USD,1,1
385529,https://jandjgamingfactory.com/products/the-vale-of-eternity?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.6,USD,1,1
359601,https://jandjgamingfactory.com/products/weirdwood-manor?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,64.6,USD,1,1
329128,https://jandjgamingfactory.com/products/the-artemis-odyssey?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.59,USD,1,1
367476,https://jandjgamingfactory.com/products/inheritors?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,0,1
251726,https://jandjgamingfactory.com/products/confident?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,18.99,USD,1,1
314491,https://jandjgamingfactory.com/products/meadow?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,41.79,USD,1,1
215066,https://jandjgamingfactory.com/products/gang-rush?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,23.74,USD,1,1
329841,https://jandjgamingfactory.com/products/ticket-to-ride-europe-15th-anniversary-edition?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,75.96,USD,0,1
331965,https://jandjgamingfactory.com/products/arkham-horror-secrets-of-the-order?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,34.19,USD,1,1
299597,https://jandjgamingfactory.com/products/lord-of-the-rings-journeys-of-middle-earth-shadowed-paths-expansion?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,33.24,USD,0,1
1294,https://jandjgamingfactory.com/products/clue-signature-collection?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,41.79,USD,1,1
291572,https://jandjgamingfactory.com/products/oath-chronicles-of-empire-exile?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,91.2,USD,1,1
324963,https://jandjgamingfactory.com/products/pac-man-the-card-game?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,7.18,USD,1,1
314040,https://jandjgamingfactory.com/products/pandemic-legacy-season-0?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,68.39,USD,1,1
244521,https://jandjgamingfactory.com/products/the-quacks-of-quedlinburg?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,42.74,USD,0,1
322168,https://jandjgamingfactory.com/products/castlescape?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,41.8,USD,0,1
372105,https://jandjgamingfactory.com/products/roll-player-adventures-gulpaxs-secret-expansion?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,49.36,USD,1,1
254708,https://jandjgamingfactory.com/products/roll-player-adventures?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,121.56,USD,1,1
227456,https://jandjgamingfactory.com/products/escape-the-dark-castle-core?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,1,1
280748,https://jandjgamingfactory.com/products/escape-the-dark-sector?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,34.19,USD,0,1
364655,https://jandjgamingfactory.com/products/kinfire-chronicles-nights-fall?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,113.24,USD,0,1
173634,https://jandjgamingfactory.com/products/red-dragon-inn-5-the-character-trove?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,43.96,USD,1,1
199561,https://jandjgamingfactory.com/products/sagrada?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,34.16,USD,0,1
