objectid,epid
58520,71916322
58520,88847744
58522,103429313
58522,71924992
58522,86570353
58523,105824620
58523,72382324
58541,104332517
58541,71692638
58541,87562207
58559,1400224976
58622,84282615
59658,78408297
59658,89006450
61075,72422865
61076,72418466
61077,72432609
61078,72444538
61079,72412421
61081,72435343
61082,6038694438
62390,27046693524
62390,73684259
62447,103046830
62447,12038713739
62561,225597340
62561,77536746
63104,84505020
63770,1905596964
63770,1907825661
63770,72658866
63775,103394765
63775,72708862
63775,86536105
64600,106355969
64600,19069205314
64600,80037779
64600,93281799
64601,102957367
64601,105400878
65332,103747801
65332,25038720949
65332,73182286
65332,87107451
66316,102879143
66316,93402523
66317,102764509
66318,92598998
66326,116507334
66326,22024718155
66908,103715614
66908,73202318
66908,87065754
67011,23069213849
67011,80524095
67011,93358961
67019,102771659
67019,93390430
67020,102840440
67020,93430557
67021,102921742
67021,105402133
67021,93404103
67402,102843093
67516,180739129
67516,24038754906
67516,78693970
67791,105259299
67791,78357755
67791,92307269
68099,1300202797
68449,103945507
68449,4038423418
68449,74153326
68449,92346787
68615,77401625
68615,92441006
69528,222216626
69528,92899971
69600,103923571
69600,78658172
69600,92727651
69727,104041678
69727,92503349
69727,93367748
69791,77410629
69804,1389487
69804,88707329
69804,95340499
70974,102862267
70974,92554643
71412,92596077
72605,105303795
72605,78699468
72606,107526634
72606,78642521
72623,111439817
75389,106438810
75389,92892431
75389,94106030
75447,105027359
75447,2025006
75447,90521029
75537,102822203
75537,92769299
75542,79711160
75544,22038758650
75544,79674665
75544,93173513
76157,1300485035
77653,117042612
78461,102841138
78461,106584181
78461,93289071
82714,102967478
82714,107696768
82714,94107958
82859,102871810
82859,164516635
83539,106318281
83539,26069215789
83539,84529241
83539,92923221
85067,102896757
85068,99538930
85068,99864506
85397,25038655158
86058,99672028
86059,99540287
86060,104062817
86060,14038552470
86060,1804358110
86060,99639679
86061,99576948
86062,99554678
87595,111448133
87595,19046656019
87595,99998657
88012,1707812112
88476,99479751
88994,99665081
90021,92400191
95307,99487009
95708,1707819782
95708,99662475
98302,110969170
98302,1665747614
100409,104133675
100409,108319245
100409,99563349
100410,108384938
100410,99723738
101717,25046478677
102704,1532529792
103134,1964291686
103134,99672436
105189,99495374
121006,110989053
122666,2255722434
135940,177971503
137785,15038743764
142337,14022929977
142337,166702714
142337,220759680
142337,221740870
146117,240062426
149021,1920960279
174620,21003774194
174620,2151658232
174620,27003421097
192563,16038430280
203811,223505248
203811,223634235
203811,225680865
203811,227696427
228718,12046666124
228718,2148966220
228718,238829207
228718,28011376957
