objectid,mfgid
44070,2109
44071,2108
44071,"GDW 2108"
44072,"DPI 1010"
44072,"DPI 1011"
44075,DPI1110
44077,"MGP 6630"
44077,MGP6630
44078,LF1800
44078,WW2800
44078,F&S4600
44079,8471
44079,DD1007
44079,WTC11829
44081,19400
44081,8500/9
44081,TSR2014-0000
44081,4501
44081,1011
44082,CP3361
44083,31-0106
44083,SJG31-0106
44083,01-0106
44084,9142
44085,"SJG 01-6104"
44085,01-0104
44085,31-0104
44086,"TSR DL9131"
44086,9131
44087,394-51547-1TSR0550
44087,2510
44087,9034
44087,WOTC2EB2
44087,"TSR8502/7 B2"
44087,19412
44087,"TSR 9034"
44088,"AG5040 Cyberpunk"
44088,AG5040PDF
44090,52003
44090,52000
44091,31-2001
44091,SJG31-2001
44091,01-2001
44092,001101
44092,9043
44092,394-51426-2TSR0550
44092,2550
44092,8509/0
44092,"TSR 9043"
44092,093569630X
44093,30026-30
44093,1201
44094,80602
44095,30021
44096,80601
44097,30032
44097,1203
44098,30034
44099,30033
44099,1204
44100,30028
44100,1202
44101,8608/0
44101,"TSR 9045"
44101,9045
44102,9033
44103,30025
44104,4520
44104,2520
44104,8503/6
44104,9044
44105,9097
44105,001002
44106,2404
44106,305
44107,MGP4014
44108,MGP4015
44109,MGP4017
44110,MGP4018
44111,MGP4020
44112,01-0102
44112,31-0102
44113,MGP4021
44114,MGP4023
44115,"ICP 106"
44116,MGP4019
44117,2101G
44117,101
44117,2101
44118,"ICP 110"
44119,40601
44121,EDN6200
44122,886480000
44124,40132
44127,40102
44128,965690000
44129,"TSR 9038"
44129,WOTC2EC2
44129,9038
44130,9104
44131,9154
44132,F&S15512
44132,WW17006
44133,GL-3901
44133,3901
44134,40133
44135,1902
44136,1903
44137,11-303
44137,40009
44138,1904
44139,F&S15511
44139,WW17005
44140,40016
44141,1905
44142,WW17001
44142,"FS 15501"
44143,1906
44144,1931
44145,"TSR 1144"
44146,"06003 8"
44146,"Taistelupeli 1"
44146,1
44146,J01070
44146,A64740
44146,24200
44147,"Taistelupeli 2"
44147,J01071
44147,2
44149,24202
44149,J01072
44149,"Taistelupeli 3"
44149,13
44150,FF04
44150,"Taistelupeli 4"
44150,270
44151,J01073
44151,"Taistelupeli 5"
44151,113605
44151,6
44152,3
44152,6
44154,1010
44155,24208
44157,6060
44158,9
44159,289
44161,9209
44166,5703
44167,24218
44169,7901
44169,10700
44169,7900
44170,18
44170,"Gamebook 17"
44172,24205
44173,CB7500XS
44175,WW55102
44177,CB7501
44178,WW55301
44178,MICHODJDICWW0002
44179,WW55200
44181,"TM 1-1"
44182,R-008
44183,WW25000
44183,25000
44183,8600
44183,"FS 40100"
44183,LF10001
44183,DEDVWW25000
44184,R-001
44185,R-002
44186,R-003
44187,WW2000
44187,8000
44187,01100
44188,R-004
44189,R-005
44190,"WW 04000"
44190,01400
44190,MAWODLHDIOWW0923
44191,WW6000
44192,"F&S 8001"
44192,WW7000
44195,SJG31-0105
44195,01-0105
44195,31-0105
44196,LF6001
44196,WW8100
44196,"WW 8100"
44196,"FS 13001"
44197,"SJG 01-6001"
44197,"SJG 01-0107"
44197,SJG31-0107
44197,31-0107
44198,EDN6300
44199,S2P10200
44199,10200LE
44199,10200
44200,PEG1100
44200,1100
44201,"CIL 103"
44201,CIL0103
44202,MUWODLHDIOWW1012
44202,WW2380
44203,WW5901
44205,WW8200
44205,"WW 08200"
44205,"FS 19500"
44206,AEG7001-PDF
44206,AEG7001
44206,"AEG 7001"
44207,LF8001
44207,"WW 21000"
44208,AEG7002-PDF
44208,AEG7002
44208,"AEG 7002"
44209,322
44209,8007
44210,"AEG 7301"
44210,AEG7301-PDF
44211,ICE#6009
44213,AEG7303-PDF
44213,"AEG 7303"
44214,IPROPC1
44215,7104
44215,AEG7202-PDF
44215,"AEG 7202"
44217,"AEG 7204"
44217,"GI 7102"
44217,AEG7204-PDF
44219,AEG7203-PDF
44219,"AEG 7203"
44219,"GI 7105"
44220,AEG7205-PDF
44220,"AEG 7205"
44220,"GI 7109"
44221,WW55208
44222,WW55204
44222,MICHODJDICWW0006
44223,WW55202
44224,9109
44224,9101
44224,"Oscar Giochi 9"
44225,7107
44225,AEG7207-PDF
44225,"AEG 7206"
44226,MICHODJDICWW0025
44226,WW55103
44227,WW55000
44227,LF11001
44227,WW55002
44227,"FS 40000"
44228,WW55206
44228,MICHODJDICWW0057
44229,"AEG 7207"
44229,"GI 7108"
44229,AEG7207-PDF
44230,"Tigerns väg 1"
44233,750
44236,"AEG 7302"
44237,"AEG 7304"
44237,7202
44239,"AEG 7305"
44239,7203
44240,"AEG 7306"
44241,WW55209
44241,WW55002
44242,02-1-002
44242,2102
44243,"AEG 7307"
44243,7204
44244,7308
44246,"WW 2900"
44246,"FS 4400"
44247,#FSRPG
44247,"FS 200"
44247,6201
44247,"LF 201"
44248,LF00225
44248,"FS 225"
44254,WOTC2EG1
44254,9016
44257,9017
44257,WOTC2EG2
44258,EF5003-2
44258,"FS 230"
44258,LF00230
44260,TSR9018-SILVER
44260,9018
44260,WOTC2EG3
44262,9019
44263,5
44263,116225
44266,"TSR 9020"
44266,9020
44267,"FS 275"
44267,"HDI 275"
44267,LF00275
44268,"TSR 9021"
44268,WOTC2ED3
44268,9021
44272,WOTC2ES1
44272,FSF1-8010
44272,S1
44272,9022
44274,EF5002-2
44274,"FS 226"
44274,LF00226
44275,"FS 227"
44278,"FS 229"
44278,LF00202-B
44288,801
44288,00043
44289,6926
44290,10202
44290,ST5403
44290,10202PDF
44290,PEG10202FG2
44290,GGSW0106
44295,16
44296,"AEG 7104"
44297,20586
44299,"AEG 7003"
44301,20551
44303,20515
44307,20508
44308,"AEG 7102"
44310,644
44311,312
44311,"RP 8010"
44315,"AEG 7103"
44322,MGP1001
44325,"MGP 1002"
44329,A66581
44330,"AEG 7105"
44333,20564
44337,WEG20524
44339,WW55207
44340,40165
44343,2106
44343,2106G
44344,11433
44345,WW55004
44345,MICHODJDICWW0087
44346,WDS2024
44346,CP3211
44346,CP112
44347,9323
44347,"TSR 9323"
44348,WW9500
44349,GRR1704e
44349,GRR1704
44350,WRD1104
44350,GRR1714
44350,GRR1714e
44351,WWP9505
44352,WW9504
44353,WW9501
44355,MGP3808
44356,04550
44360,CT-B02
44361,4001
44361,"WW 2002"
44361,1001
44363,JAN-002
44363,PELG01
44363,EDGGS01
44364,2000
44364,"FS 4500"
44364,WW2300
44364,WW02299
44365,6081
44365,30-6081
44367,WW2001
44370,WW55205
44370,MICHODJDICWW0117
44371,OTOTHEHDIHWW1168
44371,"WW 51000"
44371,WW51000
44372,"WW 2005"
44372,WW2005
44373,WW2006
44373,"FS 4202"
44374,WW55302
44374,03203
44374,MICHODJDICWW0131
44375,"WW 55701"
44376,WW2009
44377,WW2010
44378,VAWODLJDIOWW0433
44378,LF1007
44378,WW2020
44379,ST4001
44379,PELG02
44380,EDGGS12
44380,ST4601
44380,PELGM01
44382,CT-B03
44383,PELGT01
44383,9781934859070
44383,SL1500
44383,GT01
44384,WW2021
44385,304
44385,2202
44385,CT-B04
44387,SL1503
44387,PELGT04
44387,RPPP-0019e
44387,EDGGS04
44388,337
44389,PELG05
44389,PELG005D
44390,WW2022
44391,343
44391,CT-B07
44392,PELG07D
44393,344
44396,1101
44397,"WW 2023"
44397,WW2023
44397,"FS 4504"
44398,10101
44399,WW55203
44399,MICHODJDICWW0171
44400,WW2051
44400,LF01301
44400,"F&S 4101"
44401,01113
44401,WW2052
44401,"FS 4102"
44402,WW2053
44404,"FS 4104"
44404,"WW 2054"
44404,WW2054
44406,WW2056
44406,"FS 4105"
44408,RPPP-0003
44408,ST4221
44408,PELGT05D
44409,PELG08
44409,ESO003
44409,EDGGS05
44409,PELG08D
44410,PELGT05D
44411,10201
44411,S2P10201FG2
44411,10201PDF
44411,RPPEG-0103e
44412,"AEG 7106"
44413,PELG06
44413,PELG06D
44414,EDGGS06
44414,PELGT06D
44415,-
44416,PELG04D
44417,"AEG 7107"
44418,306
44418,2501
44418,CT-A01
44419,SL1501
44419,PELT02
44419,RPPP-0004
44419,"	EDGGS03"
44420,311
44421,WW2057
44421,01112
44422,314
44422,CT-A03
44423,316
44424,LF1307
44424,WW2058
44424,"F&S 4107"
44425,319
44425,CT-A05
44426,WW2059
44427,CT-A06
44427,325
44428,WW2060
44428,LF1312
44429,326
44429,CT-A07
44431,330
44431,CT-A08
44432,WW2061
44433,333
44433,CT-A09
44434,338
44434,CT-A10
44436,339
44437,340
44437,CT-A12
44438,341
44440,"FS 4112"
44440,WW2062
44441,PoD05
44442,LF1308
44442,WW2063
44443,RMH1001
