objectid,isbn
44309,207050932X
44310,0140342729
44310,2070566382
44310,9780140342727
44311,0915795167
44311,8478310487
44312,2070579638
44312,0140343660
44313,2070567885
44313,978-0140344851
44313,0140344853
44314,2070568733
44314,0140345558
44314,9780140345551
44316,978-02070568154
44316,0140349375
44316,2070568156
44317,0140349472
44317,978-0140349474
44317,207058268X
44317,978-2070582686
44318,0140360085
44318,978-0140360080
44318,2070582698
44318,184046481X
44319,0140362576
44319,207050705X
44319,9780140362572
44320,0140364072
44320,9780140364071
44320,2070584631
44321,2070586138
44321,978-1840468076
44321,9780140364279
44321,1840468076
44321,0140364277
44321,978-2070586134
44322,1903980038
44322,1-903980-03-8
44322,9781903980033
44323,978-0140365665
44323,1840465514
44323,978-1840465518
44323,2070585158
44323,0140365664
44323,978-2070585151
44324,014036496x
44324,978-0140364965
44324,2070586944
44324,978-2070586943
44325,1903980046
44326,978-2070587667
44326,0140369783
44326,2070587665
44327,978-2070592265
44327,0140370137
44327,207059226X
44327,978-0140370133
44328,2070592278
44328,9780140372458
44328,978-2070592272
44328,0140372458
44329,978-2070665815
44329,1840468025
44329,978-0140375534
44329,207066581X
44329,978-18404468021
44329,0140375538
44330,1887953159
44333,0874313252
44337,978-0874313413
44337,0874313414
44339,1588463567
44339,9781588463562
44340,0874315115
44343,0880388285
44343,1873799128
44344,0786914335
44345,1588467139
44345,9781588467133
44345,978-1588467133
44346,8488966660
44346,9788488966667
44346,3927903353
44346,0937279358
