objectid,ean
192458,0777904600291
192458,5902560380095
193037,0681706100012
195539,0889696003645
215341,0729220062611
222509,0618458982061
222509,5907222999004
224783,0860154002301
227789,0826956510109
228341,8594156310424
234277,0029877035274
234277,4260402315959
234487,0634479098505
234487,4260184330263
234487,0850505008076
244711,0889696009043
115293,9781616613983
133671,0655132004879
140149,0094922427021
140149,0612520576349
140149,9781941816004
268166,6162398977716
268166,0700304150219
254135,4715109020311
145196,0785924888889
145196,0689070013235
282853,0029877030057
282853,0029877030071
77011,0655132005227
77011,0782495872729
170951,8033532950279
245934,4005556269198
250458,9781947941168
256916,0655132005616
257499,0841333107147
260428,0841333106591
1301,9781616614607
1301,0885247473325
1301,0033586149498
1301,0885150129609
124742,9781616614607
124742,0885247473325
124742,0033586149498
124742,0885150129609
317985,0655132005807
23953,0080162879683
24770,0803004191008
39425,3558380008866
39425,7104622699123
39425,0754295562896
92190,0817009010004
92190,0772223040810
106637,0824968117736
106637,8249681177362
109779,0850938004003
119657,3558380024620
119657,3558380033646
119657,0795036952842
121288,3558380024620
121288,0772223238477
121288,0852791003018
122298,0713757272605
122298,0793631755059
122298,0787799506486
130605,0859580004034
130605,0772223633708
130605,0736126083893
134342,7104626789813
134342,0607052443542
134342,0787718859648
134342,0653569831679
134342,0885219070095
134342,0885230149619
134342,0885293414204
134342,8601404490941
134342,0044949499433
134342,0885819662591
134342,0044975393767
134342,0885142659503
134342,0885855481996
134342,9780786964505
134342,0092992218952
138547,8696777336132
138547,3558380016168
138547,0688623106424
138547,0798525950732
138547,0783324776539
138547,0787551917956
138547,0885865297204
138547,0885381085781
138547,0751195343778
138547,0885304068341
140934,0703546240601
140934,7753686021250
140934,0850505008304
144384,3770001556116
145325,0688623106431
155731,3770001556178
186375,3770001556178
167400,0681706120003
167400,0670541597767
167400,0783318548449
170416,0602573058695
180974,0889696002389
180974,0793631070725
203416,0814743012653
203417,0814743012660
205359,0841333101961
209778,8013101131193
209778,3683080182971
209778,8033609530694
209778,3683080182988
215840,0814743013148
215841,0814743013131
215842,0814743013155
221965,0859930005742
221965,8013101130110
226518,0814743013599
226519,0814743014251
226520,0814743013636
226522,0814743013582
2005,0681706999999
242684,0616909967308
242684,6169099967305
193557,0841333101343
35572,0655132003797
128442,9781616613365
141320,9781938146831
319294,0889698493512
84876,0783327677598
84876,0698997937937
84876,0783149713894
84876,0692000200025
84876,0743181277570
84876,0751195321066
84876,4005556812431
84876,0802294169667
20806,9780786940721
2507,2012605245005
35052,0653569155096
181819,0852613005589
241724,0604565193599
2338,0029877030101
2338,0298770301018
2807,0793631773152
2807,0885909338856
2807,0785924860410
2807,7104753183119
2807,0751195331713
2807,0794819447087
2807,0713830325938
2807,0789264068840
2807,0029877030729
2807,0885345784712
2807,0787799598344
2807,7790020110904
2807,0798527702889
2807,0790405256644
2807,0029877030774
2807,0667649055244
2807,0885184362249
4100,0298770300196
4100,0029877030019
4103,0885441859819
4103,0598900190339
4103,0787799469118
4103,0029877030743
4103,0785924801673
21817,0029877487226
27760,0787799853849
27760,0029877030675
27760,0787793121517
27760,0835769032869
66056,0791159681508
66056,0029877031313
66056,0658107693306
66056,0793631390748
66056,0798525915656
66056,0885274195719
66056,0885240263725
66056,0698997841241
66056,0885939045229
66056,0792491820402
66056,9781569052440
66056,0698887693035
66056,0885518775479
66056,0783324807431
66056,0736126300150
66056,0754295322247
103091,0029877032044
135378,0029877030750
152959,0029877031023
152959,9781569052396
229218,0841333103330
17025,0792736788467
17025,0793631572304
17025,0787799203934
17025,0807658000372
17025,0783495209829
980,4007396009309
980,4007396089509
265736,0703570509637
265736,0729220070531
140863,4015566033078
204650,8594156310387
25261,3558380002291
25261,4015566010529
218121,0604565054616
267367,0810024460045
164169,9781616619411
145599,8435407616103
22049,0837654321591
22049,9781556347511
173,7103936952436
173,9782914849647
173,0798993252260
173,0751195346762
173,0783329505639
37904,7103936952436
37904,9782914849647
37904,0798993252260
37904,0751195346762
37904,0783329505639
161842,3760146644700
161842,0791743174973
161842,0797978343207
161842,3760146640450
161842,3760146640467
161842,3760146642065
155996,7104622836306
155996,0696859265884
155996,0082585502735
158326,0798304258875
158326,0885431508598
158326,6965836952739
146791,0094922476678
146791,9780984608089
17223,0086661900002
17223,0699788109168
17223,3348542208827
17223,9781589942387
179460,0608819334394
179460,0784029137557
179460,0696859265822
276104,0655132005876
3495,0742818140324
4004,0074299427534
4004,0033170271994
6485,0074299427534
6485,0033170271994
19578,0027084214109
19578,0852877000566
19725,0852877000559
