objectid,gtin
258720,841333105150
287941,9781947941038
186475,803979059006
165572,9781472807380
214899,0859096007109
194655,9780992126841
224313,861961000023
271319,4005556269181
230590,634482729359
5432,686141010162
128921,827714006834
135779,4571394090589
68942,837654320525
257081,9781626926288
5559,9781930658042
23959,0027084334784
225214,3760175515293
3309,0874310326
40398,0630509747740
295829,0630509896318
146247,813856014363
17053,856739001142
17053,073854024300
17053,073854023938
92363,092145610282
193042,826956370208
253495,850505008793
121425,681706790015
237153,603813959635
22877,817054011162
156840,720260655764
248196,602573824962
89550,669165005581
139666,799599208255
113819,091037538024
254386,0852068008067
129622,841333108359
177249,091037681171
223597,5060314600063
232405,843495100042
9567,823973010056
2398,0788430983390
223881,9788417071707
285902,0875582024870
54239,027084729634
226135,9780986392078
214898,9781589781764
3373,9001890642920
247704,5060226932177
194062,8054181513714
2318,0653569397311
183682,9781938146336
265377,682604701592
1515,653569353300
123122,655132004794
826,4035576010036
6830,857848004581
107576,681706712611
2398,0788430983376
5367,1888439343
4035,794764015218
17053,073854014844
17053,847563000340
17053,019275015152
17053,746775054540
17053,073854024317
17053,073854112946
17053,073854024270
17053,073854019825
2290,3558380019589
189314,841333100353
237182,602573655917
129359,0837654321898
226610,860649000300
13078,0761707361015
136954,029877041268
692,702021085126
11971,4001504871260
336794,9788088235002
336794,8594156310189
321035,0700304153920
9778,076930415337
175121,815442018588
31260,681706070261
206769,817054011506
125548,9781936920457
188,4061449966
257411,0759751001148
14808,0699788109175
129358,837654321904
154624,728028205213
282765,0672975263959
272889,887961775303
146451,817009018642
113819,091037538031
113819,0091037538031
2393,035756232153
64548,027084717952
44338,837654320259
3701,671839001003
234553,3558380049258
285902,875582025136
175549,0696396382563
20913,730799050657
235982,610370565124
152237,823464002195
6134,036663117007
309113,824968200636
285158,0053334916417
131366,0040232179945
142326,0040232179945
256988,889696009616
177328,858170003426
129609,627843208211
254427,894342000015
323184,9781856699495
132380,021853022674
6865,076930000847
161138,803979015002
12065,0759751002480
535,032244046018
255370,817246020484
252399,0602573655924
230,045708008767
105134,653569879169
298370,787790705086
382,853533008124
153494,837654322024
41835,814349017502
3845,076930410493
178048,837654322604
85256,3558380052111
23550,802221020207
8806,073000460204
39432,183338000475
21059,841333107185
200983,053334820547
210936,053334820547
22551,653569037613
148228,3558380048671
161316,0703558838421
3845,0076930410493
97842,655132005005
216033,778988144343
983,0715234001005
224037,8594156310363
256569,4250231716898
175219,827714008715
38159,689070014027
2484,4005556011490
15473,757572000012
263301,095109010395
66188,4010350608234
27970,807652036247
188547,748252311191
244838,748252311191
204180,896800000773
21551,817054011650
5506,656729180693
309113,824968201633
146451,9781941427019
24082,887961614817
141811,703558837608
2412,620072000014
243534,841333104863
65282,703558837622
150016,4580281270164
134115,850938004010
3845,653569495475
269752,841333108144
148949,729220070630
7250,073000014209
201,814743011649
173875,0783318296135
159566,4010168205649
293267,3760175516825
822,655132003278
232918,4981932023717
255255,0656793965493
27853,759751071042
238992,0856934004207
259162,0856934004207
129359,837654321898
231964,9781938146268
307002,0793618234676
3309,0018874100207
269456,073428443094
251066,0841333104979
224141,5060469662275
256302,9780966704662
177995,610563384518
285902,875582025129
76481,9781661831110
92828,3558380028338
17053,073854000885
285902,0875582024900
110298,8595557506546
188325,685450496728
35537,625012104302
75547,0799439117594
197068,798304339260
15435,9781905176625
218208,824968720028
258647,4260402316031
66312,653569478072
984,033500050770
271,071404310170
244358,752830415188
31553,095109030102
13078,761707361015
22718,019962100024
285902,875582024733
71865,837654320518
5451,4902370516531
25685,787551683523
12106,619159000016
198452,653569533450
275840,700304152312
95128,850402003013
6122,0073000409050
214988,609456647724
224313,861961000016
79131,634482704387
285902,875582025365
136563,643356051083
2398,0788430983239
147458,9781514397848
208419,609456647632
14535,080742099692
199561,728028444155
11901,041624191620
226085,627843307518
11258,893917000009
2448,0047754180015
201305,845866001149
160606,780742098519
187366,029877031184
223573,602573528440
178361,889696002174
131006,696859317477
28046,851139001006
27173,681706713403
45315,8594156310073
247473,862560000308
177940,862473000105
116422,746775059385
74596,722301926161
21882,9781589941366
183831,798521867034
29992,071404310644
146094,631080134202
198926,0841333101220
41152,027084682946
177790,023245601016
227026,634158741326
113819,656103047758
80570,837654322499
112,841333106485
28181,817054011872
171620,845866001118
552,850000576049
143843,803979005294
1687,086079001148
17053,847563000920
17053,073854023440
17053,027084919530
141830,837654322369
155072,696859265594
256262,827714015928
2655,736211018939
133848,0748252979216
223931,9782370990266
236304,0752830414587
86073,5018163005478
178900,3760175512858
