objectid,mfgid
254640,JOUS01
255615,ARWDTE07
257527,00045CGE
257527,CGE00049
280136,PAR-R01-ENLKY
280136,LKYPARR01EN
303051,48713
213893,DO8601
271615,26129
314014,CIV02
314014,FFGCIV02
312267,SWU001
338,604VLY
223740,RGS00855
1513,003VLY
7480,GMT040510
139771,WZK71120
41068,nov085105
41068,98013
949,C-B11OR-72
949,"3M COMPANY"
66608,PSIVLY206
66608,206
160680,1015
154259,IMPLGL200
154259,LGL200
66508,330417
66508,"DVG 9102"
174430,CPH0201
4864,25603
32688,25603
28720,0718122262502
28720,101081N
30549,PAN01
31260,LOG00028
35677,"RGG 364"
36218,YDB01
40834,CARC01
25568,4260071875938
25568,168405
29298,978-1-58994-359-9
29298,VA41
31536,FFGVA53
34194,ABA03081
34585,KEL01
35497,75808
35497,875808
36708,1
36946,9781589944343
36946,SL02
181,450861010
37198,450861010
37904,FD
38054,SNW01
38386,OM01
42444,IEL04053
42444,4053
152053,3HG101-1
162388,L99-BC007
154182,71340ZMG-Helios
9609,WOTR001
9609,"AGS WOTR001"
115746,WOTR001
115746,"AGS WOTR001"
173101,CC040
134520,DV1-025
150997,331066
252212,83886
252212,ESC001
45132,5003AYG
45132,AYG5003
286434,BFG009
6707,40-48
6707,140080
42980,5008
18296,7008
18296,ZMG07008
112064,FFGMEC10
112064,MEC10
143175,"In Kashgar, players trade diff"
143175,GRL2333
153991,VRG004
200726,GCG006
372,51303
231280,GFG96744
1115,6029092
187679,60010101001
190915,BBG00022
190915,CDRB02
195237,OWG0701
196834,7411
105037,PA004
159109,XM0001
171879,na
171879,ADCDE201501
217780,na
217780,ADCDE201501
172931,418
172931,OUTF
223855,0573RGS
232918,ZX02
244536,GSTGMGTEZ
264052,RGS02021
284818,ASMSCCA01EN
284818,CAYL01
270971,"ESG 50140EN"
270971,PBGESG50140EN
186721,VPG09020
219788,GFG96745
1525,COL3705
176803,TGOS01GNE
150783,BWR0401
249259,ALD07035
37601,9781589944978
37601,TD03
123695,MEC16
123695,UBIJCS16
2511,SHEH03
73439,TRO01
73439,PGTROY01ML1
146021,FFGEH01
146021,EH01
119550,HE233
121786,FFGTM09
121786,TM09
123483,FFGWHC33
123483,WHC33
124349,FFGWHC34
124349,WHC34
132208,HE240
199561,51120G
124172,CLP119
124172,"CLP 119"
204027,59000G
300877,63572
159675,71490ZMG
159675,ZM7490
1489,205CAG
58936,7042
222542,oty01
164663,12
172220,WZK71818
166158,330427
102,4494532
1143,GAW01018
8273,0655132002370
8273,237RGG
9021,43202-109434
16320,"RGG 330"
16320,330
27532,7005
28739,VA54
29903,8033049930504
29903,7020MLZMG
38735,7048
67917,SPW50023
114667,AAX2001
114667,74351
123045,045557239107
123045,23910
146158,RR400
216640,72814
220558,GMTACIS01
220558,1911
223674,030LKY
223674,LKY030
1604,124
2083,2012-12
2272,004058
2272,"4058 S5"
2956,TDC1042
2956,1042
3522,KOP00002
3522,80-97760
4035,01520
4035,1520
4077,5000
4143,1191
5314,004623
5314,"4623 S5"
6283,4101221
8689,1119
10715,CASKU1218
10715,SG_B0019IF8AE_US
24959,7817
29096,SL03
65611,EDGSJ01
65611,131315SJG
120523,330411
233266,ACA01000
15,CE01
39463,CE01
40529,CE01
116,WTC218880000
116,5510919
7805,0655132002455
7805,245RGG
29934,339
29934,339RGG
63268,SP411
71836,4063
71836,"ZMG 4063"
127024,ROOM01
138431,GRPR001
169794,COAL01CTG
179572,ALD05836
181810,KOD2IBC
188547,RMA200
228328,PKR1300
238638,RGS0801
176361,IBG0ON01
128621,STM105
183394,STM105
172287,GFG96736
62227,GMT1012
62227,"GMT 1012"
1917,7470-Sci-Fi
1917,7470
124300,FFGRA02
153233,FFGDJ26
153233,DJ26
39339,9781589943445
39339,AD01
165023,582
165023,22068
232917,RIO553
207338,FBA_LAU00053
207338,LAU00053
290834,RGS02046
296152,RGS02126
285235,RGS2069
59946,207790000
59946,207790000WOC
144722,71251ZMG
304337,POP00394
296237,RGS2072
296237,RGS02072
84838,331514
163048,331514
2455,MFG489
2455,MF0489
2689,MFG4501
127127,CZE01443
127127,01443CZE
226840,SW04
226840,FFGSW04
151771,CTGQG1004CTG
224031,RIO546
214029,1812
98351,STG01002
207243,TCOK001
228399,67200
228399,ALCOKC01
285984,RPOD0016
299317,IBG0AEO1
301767,LIBD0013
306735,CGE00058
1917,3495
1917,03495
256606,GNH18
197586,841333101336
197586,EH06
77423,FFGMEC01
77423,MEC01
225885,2836
13751,"PGU 52100"
231733,29496
33155,"ZMG 4057"
256877,6045563
42951,RIO515
174226,RIO515
199478,6010SG
1260,B0966
5406,5097877
31291,9788496934160
31291,15463
32441,R1886
42939,301
42939,"FFP 0301"
140343,332101
167763,01861CZE
179182,DJK001
206504,RGS00554
171131,MATSCSO1
251420,CYA01
251420,ZMGCYA01
318977,9788831382113
318977,98841
121787,RYU01ASM
121787,RYU01
152867,UNIT01ASM
152867,UNIT01
204605,ALD07006
156482,43227-2203
103182,ZMG27026
131403,681706470269
131403,"ZMG 70264"
