objectid,epid
31260,2254476367
200680,2254476367
300580,25042626030
257499,7025182398
257632,19021627910
159675,1638431317
221,1700225607
6607,1600212417
250337,27032162334
149169,1139136423
42244,16012035622
1408,14012072997
291508,11040016036
217531,2174946500
254470,23023380423
191579,1071446982
155464,26023106180
203416,754776946
274590,25033733018
23334,19015126388
125,1900099618
163163,1889697687
265038,24033672957
16395,3022323135
236457,17026253460
244144,22026060623
136356,691123713
45,2097079538
2750,691410493
3522,22009471782
233867,7042490093
24783,671780945
256802,4027020381
4492,2255403422
40849,21017665576
1197,23010491910
1362,14028311058
214,1844907
1324,1844907
226176,23024034461
252899,4026860702
282088,13033145529
261501,26021818863
23953,1400164082
1111,513612903
200634,1390904967
10686,1108000106
18898,2088657767
21882,14025160044
145928,1634354856
194607,1077242005
163,1155246886
143981,691494128
2719,11030641875
260311,23026820711
37918,14028265634
125403,1701020355
28250,1827860413
184921,2219708946
150658,2254587492
108687,8033996365
140,710134935
274093,23034975792
25071,27009470574
116954,1434649828
233247,16009940540
192661,10027543844
266192,9034923846
265036,11035453556
133473,4012052079
249830,10016625369
56342,1900473989
232832,8017351570
279061,17024487581
265736,28031531085
266304,16034995983
204029,2098945456
917,17008352352
206504,2094685235
287220,22037012673
6283,1007961989
241225,25016562252
138614,1223984612
210936,2037053454
9516,710152216
4910,1800102822
296152,8042434294
202426,12042509125
248158,18016637623
279304,15033531363
29223,691332432
31784,815863094
233891,26011320664
275564,25039748603
216788,19028240806
201808,691188823
181458,6009497629
26696,691189691
214032,9016615734
204886,2087605192
158957,1928596857
258244,25025409835
113997,1640579576
181304,1640579576
2448,11009472873
192906,1382617122
57072,19009472722
1297,710163312
302336,22040101602
280136,15035009495
2294,1400129389
182995,1186663763
8689,1400079850
216632,839122232
244769,5033709583
248490,3036755692
136888,1540502298
275406,21032086043
215510,596777311
11,2255624964
217960,759039672
209686,501448609
28260,1210671404
234669,4010203329
215311,2201953301
6535,1901335381
65889,1200661396
150926,1734369044
169045,710161701
205907,16016996809
10934,1700056411
23964,11011034752
265035,11024484351
19027,2255097609
287576,23036499881
292488,27037153921
272453,9029247991
134398,1529115246
171033,18020647769
161928,710119558
224363,26004353646
261499,16021869786
2425,9021571856
206715,22023427011
125678,22027053502
230802,4034757400
280501,9034755901
136063,16028674292
6552,2303211881
72448,2255451808
102680,59071482
3320,1622068004
1070,16021222862
144384,1734805569
55150,78681576
204505,3031651167
320,21006402320
272637,15036857079
145842,28011029676
177608,217399067
77130,99644241
3728,21026727095
315954,23040705875
135219,691471913
87776,102838160
65244,691252088
146886,1540428618
2453,7027548325
244258,13023035415
2807,22027052506
1410,27026537003
123759,1300701507
30549,19019151501
156416,1130309722
244191,22031565923
150376,11033516447
269385,11032780290
254640,12033649074
27766,28027541121
125921,28027541121
184842,28027541121
