objectid,upc
25821,044981095419
25821,885879334360
25821,636875810866
25821,558380001020
25821,885927716308
25821,885398846207
25821,885310881200
25821,899998842736
25821,607052445997
25821,820646416801
25821,799457339480
25821,885946743842
33604,885272206202
33604,783329739973
33604,892884000050
33604,092884000054
33604,692000195062
37141,631080089793
38159,689076213653
98229,696859265686
98229,787551910698
252526,696859265686
252526,787551910698
113997,558380029567
113997,787551662924
181304,558380029567
181304,787551662924
123239,777904145525
123239,653801120240
123239,885971341983
123239,783318528427
123239,892884000302
123239,885253055331
123239,793631441600
123239,066993379653
123239,885214306595
123239,092884000306
123239,734548118827
128882,791836971717
128882,743181511162
128882,798525907019
128882,785924710654
128882,698887591812
128882,796657656270
128882,885527043484
128882,793631475018
128882,627813213726
128882,791159676504
128882,885510713790
128882,751195332888
128882,722301926192
128882,667649313399
128882,783103832708
128882,754295422848
128882,783329520762
131325,795871018246
131325,885656073703
131325,885552848689
131325,787799195727
131357,022301926247
131357,722301926246
142271,013031015868
147151,698887826433
147151,792491480941
147151,093551259508
147151,787799795880
148943,751195345055
148943,793631725274
148943,787551474459
148943,792273251066
152242,698997805373
152242,689070014027
152242,885439458253
152242,885963467226
152242,885256038805
152242,787799400661
152242,885343279296
152242,885893802104
152242,885359618263
152242,885896170750
152242,698887611695
152242,885457886649
152242,793631387458
152242,791209839033
152242,082256362842
152242,885356304459
152242,756806185457
156129,746550650936
156129,616909967612
156129,787799873625
164265,787799876893
175549,437654529883
175549,792165811927
175549,792438017094
191894,759751001100
191894,793631052813
193308,814552021280
193308,801310112441
193308,714552021283
194626,892884000906
194626,793631755417
194626,092884000900
195043,793631101627
198740,729220051233
219215,689070017370
219215,089070017378
278,798521424107
6205,092145618783
238090,700118802786
2394,047754512007
2394,047754512205
2394,787799944059
2394,885295800838
2394,789264270007
2394,047754512014
2394,787551956580
133632,736211951670
226506,724752982895
269810,741012344644
269810,655132005661
154560,793631527755
154560,616204673058
154560,490871008142
154560,815442017956
154560,791209933991
154560,784311846822
154560,815442017819
154560,815442018274
154560,792491869845
45,609456648806
42215,655132003988
107529,791743693535
107529,793631464531
134726,885873751903
134726,599038138200
134726,885336431847
134726,729220055026
134726,885914261002
134726,885526184867
134726,885531224572
160018,729220055064
160018,787799136218
160499,789264085267
160499,746550549469
160499,885154828799
160499,885973754828
160499,885216754264
160499,091994462530
160499,751473073205
160499,760175511700
160499,798527719306
160499,885141879957
160499,698887830171
160499,736126380145
160499,787799885765
160499,751195323916
160499,885853271995
160499,044981090292
160499,885865425829
160499,787551921854
160499,797619855380
12493,699788109113
12493,086661500004
12493,013031031882
12493,607052445898
233078,699788109113
233078,086661500004
233078,013031031882
233078,607052445898
191364,729220058478
270673,854382007450
118536,713757495936
86177,817054010943
235533,655132005456
21050,817054010561
290448,644216627622
129308,095109017080
22304,077526286812
22304,832998040061
126602,039897412641
192860,793631378760
10,655132001397
878,655132001762
878,787551683998
22141,899998920786
22141,824968722916
296557,893339043240
121410,885197541280
121410,793631126507
121410,885318836301
121410,791209987949
121410,783719807077
121410,787799938829
121410,760175511236
132372,729220056016
284083,761062075794
284083,814743015005
145639,080162887459
145639,783327722212
149155,080162885622
149155,688036372232
149155,787799252789
149155,080162885264
233020,867825000338
155624,670541597736
155624,787799947166
155624,791209631927
155624,793631070077
25021,817054010486
187680,013964890457
12372,859961000228
149112,827714006612
149323,653569905677
51811,885858163851
51811,885228595688
51811,655132004046
51811,032484836486
51811,899998180586
51811,885247726469
51811,783329402525
51811,885167467480
51811,885257491623
51811,885247366702
51811,885803376756
51811,885132023604
51811,885462707410
51811,885149665118
51811,793631286409
51811,885814086620
66690,885143539231
66690,044974897587
66690,655132004220
66690,885263051217
66690,070977393870
66690,698887841733
66690,885820553505
66690,044981095525
66690,798525962643
66690,885866512405
66690,885282270156
66690,044971897030
66690,793631628070
66690,885292143662
66690,787551936056
66690,607052442125
66690,885227208985
66690,746550264546
66690,885215176289
108687,791209952473
108687,655132004565
125153,791743127146
125153,609456647335
125153,783318576664
125153,782675071386
125153,793631915811
209010,019962431838
209010,793631185788
216132,602573382059
225694,807658000723
245422,689070018339
253618,778988554098
255615,853211004561
280136,752830293489
228051,784089053170
303051,889698487139
213893,824968860113
314014,841333111786
223740,801390117220
223740,850505008557
1513,827912070279
139771,793631266661
139771,734548446005
139771,607052445256
139771,634482711200
41068,047754980134
949,717969212343
160680,081159961954
66508,032611691025
